,budget,popularity,runtime,spoken_languages,revenue,collectionYN,EnYN,DirectorRev
72,445000,2.482536,84.0,1,2300000,0,1,0.0
73,17000000,9.665251,106.0,1,24922237,1,1,67376934.0
74,500000,0.660663,157.0,3,500000,0,0,0.0
75,6000000,10.451986,98.0,1,39846344,1,1,54157630.0
76,0,2.6333990000000003,122.0,1,35610100,0,1,0.0
77,1500000,6.636625,102.0,3,779820,0,1,22971232.0
78,15000000,4.9840800000000005,118.0,1,9237470,0,1,35027975.0
79,10284523,4.3490459999999995,104.0,2,11588205,0,1,0.0
80,43000000,10.947957,104.0,1,91974818,0,1,30936169.0
81,28000000,7.482864999999999,116.0,2,40400657,1,1,32518476.0
82,2000000,10.239941,85.0,1,13101672,0,1,0.0
83,50000000,7.260574,109.0,2,152022101,0,1,72454001.0
84,8000000,9.741644,105.0,1,106260000,0,1,32432157.0
85,7500000,12.314278,91.0,2,32392047,0,0,56862610.0
86,20000000,13.655178,126.0,1,13162475,0,1,25629177.0
87,0,4.359884,109.0,1,140081992,0,1,59351200.0
88,30000000,25.261865,111.0,3,180949000,1,1,179276549.0
89,0,3.83196,106.0,2,215339,0,0,0.0
90,35000000,1.690768,135.0,2,15000000,0,1,0.0
91,0,14.322814000000001,96.0,1,2724474,0,1,0.0
92,15000000,18.184055999999998,147.0,2,20117339,0,1,11971779.0
93,0,0.181963,72.0,1,14353,0,0,0.0
94,0,1.0421120000000001,158.0,2,73000,0,0,0.0
95,10500000,11.003515,90.0,2,23000000,0,0,0.0
96,6000000,5.529808,120.0,2,46616067,0,1,0.0
97,7000000,7.958502,91.0,1,9229401,0,1,0.0
98,60000000,11.93646,135.0,1,313542341,0,1,130325538.0
99,0,1.066558,102.0,1,14961069,0,0,0.0
100,0,2.401289,121.0,1,5310554,0,1,0.0
101,0,1.590383,117.0,1,149521495,1,0,0.0
102,10900000,13.454169,105.0,1,16505460,0,1,0.0
103,31000000,6.523155,105.0,1,15134293,0,1,47670097.0
104,72000000,20.755149,177.0,4,210000000,0,1,163739345.0
105,14000000,3.873796,97.0,1,18535191,0,1,36308445.0
106,15000000,3.210693,189.0,1,34562222,0,1,36866473.0
107,75000000,13.136791,123.0,1,67631903,0,1,50499729.0
108,35000000,5.093704,111.0,1,22034832,0,1,0.0
109,100000000,11.696923,122.0,1,93820758,0,1,130325538.0
110,20000000,4.619593,106.0,1,51684798,0,1,58190132.0
111,93000000,32.070725,178.0,1,871368364,1,1,466790130.0
112,25000000,5.00725,86.0,1,41604473,0,1,57136588.0
113,0,11.356011,100.0,1,253625427,0,1,127483793.0
114,0,4.304224,107.0,1,1796389,0,1,0.0
115,12716953,6.183021,113.0,3,18814720,0,0,0.0
116,90000000,8.345985,90.0,3,347325802,1,1,179487607.0
117,150000000,12.453452,88.0,1,448000000,1,1,178170792.0
118,1500000,1.9612080000000003,94.0,1,5585154,0,1,21647528.0
119,25000000,8.369176,115.0,2,91036760,0,1,42697082.0
120,7500000,16.376657,95.0,3,60722734,0,1,220060389.0
121,40000000,14.622492999999999,125.0,3,7400000,0,0,51724496.0
122,0,5.695908,105.0,1,15500000,0,1,0.0
123,10000000,7.886926,111.0,1,12008642,0,1,220555937.0
124,18000000,9.929808999999999,100.0,3,46201432,0,1,52354676.0
125,2400000,5.2306610000000004,120.0,1,5731103,0,1,19510224.0
126,4000000,10.130541000000001,90.0,1,9800000,0,1,0.0
127,0,1.079975,97.0,1,2452566,0,1,0.0
128,65000000,11.73956,95.0,2,211780824,0,1,317921739.0
129,10000000,11.840494999999999,100.0,1,33000000,0,1,0.0
130,2000000,1.372493,90.0,1,300000,0,1,0.0
131,0,2.490032,92.0,1,120680,1,1,0.0
132,9000000,8.888278,79.0,1,4350774,0,1,0.0
133,0,10.245682,93.0,1,3065860,0,1,0.0
134,110000000,0.9130959999999999,133.0,3,407711549,1,1,371751070.0
135,14320000,0.5853970000000001,176.0,1,14000000,0,1,34391515.0
136,0,7.008512,101.0,1,31466789,0,1,27749511.0
137,3500000,5.353826000000001,108.0,1,615816,0,1,0.0
138,18000000,6.675032000000001,98.0,1,382174,0,1,0.0
139,4000000,6.216637,108.0,1,11000000,0,1,23077839.0
140,0,10.278957,90.0,1,19510371,1,1,0.0
141,39200000,14.131905999999999,126.0,4,86758912,0,0,0.0
142,0,9.322716999999999,87.0,1,147214049,1,1,89168593.0
143,25000000,5.405958,113.0,1,432274,0,1,9899741.0
144,0,1.279443,100.0,1,16905,0,1,0.0
145,4000000,10.200398,91.0,1,52425855,0,1,100860425.0
146,0,2.6204560000000003,90.0,1,5091888,0,1,0.0
147,20000000,8.759774,72.0,1,109862682,1,1,0.0
148,3500000,0.768181,126.0,1,8262833,1,0,0.0
149,0,0.56257,94.0,1,447784,0,1,0.0
150,63600000,6.047757,102.0,1,19412993,0,1,0.0
151,32000000,7.54701,107.0,1,18552460,0,1,220555937.0
152,3500000,4.456904,98.0,1,113783,0,1,0.0
153,0,1.319188,88.0,1,12277096,0,1,0.0
154,125000,10.850569,90.0,1,3200000,0,1,0.0
155,9000000,5.997054,93.0,4,17096053,0,1,50325934.0
156,40000000,9.825841,99.0,2,62771059,0,1,39686330.0
157,0,0.836108,90.0,1,25000,0,1,0.0
158,0,8.802715,87.0,1,1723872,1,1,0.0
159,19000000,10.966014999999999,122.0,1,144216468,0,1,176276905.0
160,5000000,6.501176999999999,113.0,1,41833347,1,1,16149636.0
161,2000000,11.189831,95.0,1,24600832,1,1,95453701.0
162,0,9.021668,87.0,1,55600000,1,1,0.0
163,0,5.524866,102.0,1,2585639,0,1,0.0
164,3500000,8.55931,121.0,1,12000000,1,1,0.0
165,11000000,8.929393,98.0,1,2807854,1,1,0.0
166,12468389,6.116093,97.0,1,29007412,1,1,0.0
167,38000000,1.406181,106.0,1,207283925,1,1,100860425.0
168,90000000,5.496624,91.0,1,14828081,0,1,22156733.0
169,15000000,14.778884,93.0,1,125212904,1,1,22012716.0
170,32000000,11.137888,133.0,2,156167015,1,1,127651949.0
171,30000000,5.844016000000001,130.0,1,31148328,0,1,0.0
172,0,5.725912,119.0,1,20957001,0,1,0.0
173,0,10.313689,104.0,3,21830957,0,1,255028630.0
174,6000000,9.534232000000001,141.0,1,17555141,0,0,4766310.0
175,82500000,9.796552,107.0,3,237681299,0,1,110584683.0
176,14000000,1.36737,93.0,1,161001698,0,1,0.0
177,5000000,3.172765,95.0,1,3833507,1,1,0.0
178,259000,0.722511,65.0,1,921000,0,1,0.0
179,180000000,16.088366,98.0,1,521311860,0,1,694096776.0
180,0,12.017861,111.0,1,16337881,0,1,44543232.0
181,4000000,5.263187,86.0,1,16675000,1,1,0.0
182,40000000,7.271503,110.0,1,79700000,0,1,74743456.0
183,0,6.395748,91.0,1,37915971,0,1,0.0
184,0,13.762328,90.0,2,13168027,1,1,0.0
185,4500000,3.3113919999999997,97.0,1,744816,0,1,0.0
186,0,1.1656790000000001,96.0,1,115605,0,0,0.0
187,7000000,0.8614729999999999,87.0,2,136203,0,1,0.0
188,60000000,12.915358,108.0,1,77920346,0,1,69103464.0
189,24000000,3.6929800000000004,107.0,1,12372410,0,1,46473431.0
190,12600000,11.695036,106.0,1,19054534,0,1,0.0
191,85000000,10.254314,97.0,1,144000000,0,1,54557697.0
192,10000000,11.509677,100.0,1,3916303,0,1,0.0
193,55000000,7.7132309999999995,91.0,1,110000000,0,1,140295885.0
194,75000000,14.302910999999998,87.0,1,527068851,0,1,366582416.0
195,3200000,6.1746989999999995,94.0,1,10000000,0,1,0.0
196,2000000,5.396271,97.0,1,2801508,0,1,0.0
197,0,3.14325,105.0,1,1543112,0,1,23587396.0
198,15000000,7.024227000000001,92.0,1,66000000,1,1,0.0
199,0,8.096719,96.0,2,4352094,0,1,0.0
200,100000000,8.140709,136.0,1,108103450,0,1,157672354.0
201,22000000,7.145784,105.0,2,26570463,0,1,0.0
202,7000000,19.726114000000003,124.0,1,470654000,1,1,293016811.0
203,0,2.011108,95.0,1,3418141,0,1,0.0
204,6700000,1.312833,143.0,1,31000000,0,0,0.0
205,20000000,13.132126999999999,105.0,1,1969193,0,1,0.0
206,35000000,7.321172,111.0,1,173965010,0,1,146549101.0
207,35000000,6.493765,90.0,2,83061158,1,0,32239429.0
208,10000000,11.341505,106.0,3,85300000,0,1,121189126.0
209,0,2.972928,107.0,1,5010362,1,0,0.0
210,2600000,2.203949,105.0,1,3166000,0,1,0.0
211,12000000,7.2161029999999995,132.0,4,10652498,0,0,0.0
212,0,8.358541,97.0,1,754935,0,1,0.0
213,5000000,1.608163,98.0,1,31649,0,1,0.0
214,49000000,16.628427,127.0,1,352927224,1,1,81871088.0
215,0,11.478361,110.0,1,6585516,0,1,0.0
216,50000000,7.668829,105.0,1,28931401,0,1,35375792.0
217,7500000,8.593196,100.0,1,26096852,0,1,21074728.0
218,6244087,11.722424,145.0,3,638641,0,1,8222518.0
219,14000000,1.596058,139.0,1,2474000,0,1,8359568.0
220,110000000,7.8250720000000005,120.0,6,72178895,0,1,110584683.0
221,800000,0.941994,114.0,1,1001437,0,1,0.0
222,0,3.7413300000000005,93.0,1,2225098,0,1,56503769.0
223,0,0.492745,101.0,1,206728,0,1,0.0
224,30000000,21.791110999999997,140.0,4,8574339,0,1,26130482.0
225,0,6.183051,94.0,3,27297451,0,1,0.0
226,15000000,3.4504019999999995,87.0,2,5600000,1,1,0.0
227,0,0.619347,95.0,2,1622164,1,0,0.0
228,22000000,11.945397,127.0,1,505000000,0,1,151291176.0
229,20000000,5.270187,118.0,1,57588485,0,1,17684409.0
230,0,2.592927,102.0,1,5790448,0,1,0.0
231,70000000,6.660309,88.0,1,18662027,0,1,0.0
232,0,12.653798,114.0,2,80768,0,0,34724227.0
233,0,8.416802,103.0,2,17519169,0,1,35143788.0
234,0,2.7384209999999998,96.0,1,43885000,0,1,31133379.0
235,19000000,9.106146,109.0,1,18755936,0,1,116978900.0
236,23000000,14.134879999999999,101.0,2,351583407,1,1,105718091.0
237,18339750,7.692239999999999,156.0,3,92180910,0,0,0.0
238,102000000,9.646208,99.0,2,147080413,0,1,97100000.0
239,7920000,11.162277,140.0,4,14560084,0,1,27496315.0
240,12560000,4.0529910000000005,105.0,1,42700000,1,0,0.0
241,98000000,7.284477000000001,119.0,2,10017322,0,1,52347239.0
242,8500000,6.57613,104.0,1,5001655,0,1,27513677.0
243,0,0.241287,95.0,1,30292,0,0,0.0
244,11178,0.079287,104.0,1,34659,0,1,0.0
245,9500000,5.8471660000000005,88.0,1,7800000,0,1,0.0
246,55000000,10.758754,121.0,1,203427584,0,1,0.0
247,1000000,1.1575819999999999,89.0,1,9000000,0,1,0.0
248,0,10.686166,83.0,1,2287714,1,0,0.0
249,24554,0.154526,95.0,1,140021,0,1,0.0
250,0,0.871303,99.0,1,187349,0,1,0.0
251,50000000,11.511424,99.0,1,87528173,0,1,201858670.0
252,0,6.972722999999999,133.0,1,17636261,0,0,0.0
253,10000000,2.8497790000000003,99.0,1,14000,0,1,0.0
254,0,2.7994470000000002,108.0,1,143597,0,1,33530218.0
255,15000000,10.271871,135.0,1,13060843,0,1,19510224.0
256,15000000,15.423538,148.0,2,56255142,0,1,0.0
257,27000,10.513367,92.0,1,3151130,1,1,15571493.0
258,40000000,8.778999,93.0,1,23937870,0,1,0.0
259,21000000,8.425361,99.0,1,72417394,1,1,58218262.0
260,72500000,6.936688,116.0,1,162966177,0,1,103077073.0
261,12000000,5.845712000000001,94.0,1,46044400,0,1,18686846.0
262,50000000,12.285544999999999,87.0,1,83761844,0,1,92109358.0
263,65000000,10.237996,119.0,1,250821495,0,1,125400613.0
264,0,8.469808,127.0,1,602042,0,1,0.0
265,2915739,0.558002,132.0,1,14000000,0,0,0.0
266,70000000,18.324219,98.0,3,164000000,0,1,121189126.0
267,0,2.523707,102.0,1,23020,0,1,0.0
268,65000000,13.455112,120.0,2,217764291,0,1,80149585.0
269,30000000,14.811957999999999,95.0,2,66486080,0,1,50934455.0
270,12000000,1.575026,100.0,1,12902790,0,1,39715138.0
271,19000000,4.249948000000001,130.0,1,23550000,0,0,0.0
272,7000000,7.452789999999999,109.0,2,48126384,0,1,110501680.0
273,25000000,3.596317,95.0,1,1614266,0,1,0.0
274,9000000,28.920839,117.0,1,276921998,0,1,239111398.0
275,0,4.322726,113.0,1,6841570,0,1,97371973.0
276,24000000,11.269558,110.0,1,23510601,0,1,0.0
277,28000000,13.856198999999998,87.0,1,11373501,0,1,0.0
278,6000000,8.990345,117.0,1,254700832,0,1,110532166.0
279,16000000,12.153493,99.0,1,5367030,0,1,0.0
280,65000000,10.543955,137.0,3,163442937,0,1,33552953.0
281,0,1.7919650000000003,110.0,2,310724,0,0,0.0
282,160000000,26.628178000000002,137.0,1,653428261,1,1,372257531.0
283,0,1.763116,99.0,1,5873871,1,0,0.0
284,60000000,4.924078,104.0,2,52322400,0,1,197401152.0
285,25000000,8.364587,101.0,3,56489558,0,1,42697082.0
286,3000000,1.739182,89.0,2,9563393,0,1,18346416.0
287,9000000,1.8080900000000002,94.0,1,26055,0,1,0.0
288,11000000,15.750026,96.0,1,48572000,1,1,44436337.0
289,225000,1.533379,87.0,1,2850000,0,1,0.0
290,0,2.36594,105.0,2,2945242,0,1,0.0
291,0,5.385108,107.0,1,22886222,0,1,13622461.0
292,0,7.362552,101.0,2,6193901,1,1,0.0
293,100000000,14.922398999999999,167.0,4,193772504,0,1,71791157.0
294,100000000,12.36223,101.0,1,100086793,0,1,42416359.0
295,108000000,19.943929999999998,129.0,2,22678555,0,1,87168220.0
296,30000000,4.902869,104.0,1,21800302,0,1,17684409.0
297,26000000,7.867999,97.0,2,110230332,0,1,74064851.0
298,15000000,10.445867,96.0,1,8459458,0,1,0.0
299,9500000,8.59498,168.0,2,12250,0,0,0.0
300,175000000,19.148182000000002,109.0,1,350170057,1,1,383541369.0
301,55000000,11.672394,141.0,1,113020255,0,1,85359573.0
302,60000000,10.271517,88.0,1,118338361,0,1,181968760.0
303,115000000,15.232738000000001,109.0,1,286140700,0,1,150952466.0
304,20000000,9.570657,126.0,3,27793200,1,0,0.0
305,12000000,10.312016999999999,113.0,2,68706993,0,1,72980139.0
306,0,1.506457,96.0,1,750000,0,1,0.0
307,85000000,14.170182999999998,106.0,1,183018522,0,1,101466962.0
308,135000000,23.501228,156.0,2,532950503,0,1,0.0
309,90000000,9.112008,100.0,1,161626121,0,1,82740921.0
310,12000000,7.569698,83.0,1,5669831,0,1,32432157.0
311,71000000,9.439079,85.0,1,294456605,1,1,145221779.0
312,26000000,10.177303,102.0,1,116400000,0,1,43452753.0
313,40000000,8.062578,108.0,2,60965854,0,1,112525667.0
314,15000000,4.582024,117.0,1,20529194,0,1,0.0
315,100000000,15.088318,108.0,1,384335608,1,1,95453701.0
316,0,1.895489,100.0,1,5588800,0,1,0.0
317,23000000,10.861339,139.0,3,5837674,0,0,0.0
318,5000000,6.226054,97.0,1,346592,0,1,0.0
319,0,2.8700259999999997,132.0,1,3225000,0,1,0.0
320,25000000,9.453942,124.0,2,38307627,0,1,67376934.0
321,75000000,17.852022,115.0,2,117698894,1,1,164027929.0
322,0,0.215013,116.0,1,9833553,0,0,0.0
323,30000000,9.783762,118.0,2,27610873,1,1,70549393.0
324,11000000,2.27258,124.0,1,2200000,0,1,11248124.0
325,0,11.576578,95.0,1,1289998,0,1,0.0
326,27000000,12.235391,115.0,2,60527873,1,1,43195360.0
327,0,0.7676310000000001,88.0,1,152810,0,1,0.0
328,0,1.021685,93.0,1,88000,0,1,0.0
329,60000000,11.234862,105.0,1,50549107,1,1,83565780.0
330,0,3.611453,113.0,1,14681192,1,1,0.0
331,36000000,14.575883,97.0,1,87416021,0,1,81199623.0
332,1000000,11.267366,117.0,1,3301446,0,0,102674621.0
333,350000,2.96237,85.0,2,3515061,0,1,0.0
334,110000000,13.1984,107.0,1,121790373,0,1,131661137.0
335,7200000,12.00491,120.0,2,116019547,1,1,53745715.0
336,0,7.093984,96.0,1,9500000,0,1,0.0
337,7000000,2.483032,93.0,1,10229331,0,1,0.0
338,20500000,8.333525999999999,102.0,2,10089373,0,1,0.0
339,0,0.519968,99.0,1,393970,0,1,0.0
340,130000000,8.946242999999999,124.0,3,119269486,0,1,102969945.0
341,45000000,21.605760999999998,89.0,1,788241776,1,1,393075796.0
342,75000000,7.970031,99.0,1,14567883,0,1,127357961.0
343,65000000,12.738789,136.0,1,93525586,0,1,466790130.0
344,0,1.43679,87.0,2,3162153,0,1,0.0
345,2200000,1.132835,154.0,1,9700000,1,0,0.0
346,3300000,4.445867,120.0,1,5249225,0,0,0.0
347,15400000,8.400049000000001,123.0,3,25762027,0,0,0.0
348,90000000,11.3569,157.0,4,60289912,0,1,80149585.0
349,7000,7.15307,77.0,1,424760,0,1,0.0
350,12000000,7.883710000000001,99.0,1,101332962,0,1,83229059.0
351,0,8.150265,109.0,2,1644060,1,0,0.0
352,0,6.068689,98.0,1,3351735,0,1,0.0
353,3300000,5.840554,83.0,1,64110728,0,1,0.0
354,0,1.369216,112.0,1,1192322,0,1,8350631.0
355,13100000,1.417392,140.0,1,4100000,0,0,0.0
356,40000000,11.185625,106.0,4,91753202,1,1,81101277.0
357,4500000,6.5831610000000005,97.0,1,10609321,0,1,71791157.0
358,500000,2.884359,97.0,1,17000000,0,1,0.0
359,16000000,6.918821,112.0,1,17374595,0,1,32518476.0
360,30000000,5.1543730000000005,79.0,1,100491683,1,1,0.0
361,14000000,7.495853,115.0,4,5080409,0,1,61131003.0
362,35000000,11.836827,76.0,1,19478106,0,1,0.0
363,0,4.470369,97.0,1,830129,0,1,0.0
364,100000000,12.477872,143.0,2,170877916,0,1,99498552.0
365,74500000,5.3003029999999995,109.0,3,62172050,0,1,50554198.0
366,8000000,5.137903,98.0,1,2000000,0,1,0.0
367,0,8.543311,130.0,2,68929150,0,1,73355817.0
368,55000000,10.571434,163.0,1,100230832,0,1,65466251.0
369,25000000,10.19853,90.0,3,229736344,1,1,234981342.0
370,0,0.11813499999999999,92.0,2,12000,0,1,0.0
371,36000000,2.151436,189.0,1,1345903,0,1,0.0
372,20000000,4.850968,85.0,1,2128186,0,1,0.0
373,75000000,9.409379,106.0,1,195745823,0,1,111138493.0
374,6843500,3.8000730000000003,0.0,1,10703234,0,0,0.0
375,7075038,10.181000000000001,140.0,1,9868942,0,0,0.0
376,0,2.4044659999999998,89.0,1,126463,0,0,0.0
377,60000000,7.898202,89.0,1,129832389,1,1,89168593.0
378,18000000,6.693055,95.0,4,72179579,1,1,35046571.0
379,0,7.957389,87.0,1,900689,0,1,0.0
380,0,11.110533,74.0,1,32230907,0,1,0.0
381,0,2.6283060000000003,103.0,1,1919653,0,1,0.0
382,40000000,15.228794,112.0,2,75505856,0,1,80149585.0
383,13000000,5.305311,95.0,1,7820688,0,1,0.0
384,30000000,9.378926,98.0,2,58405313,0,1,0.0
385,3000000,0.904409,155.0,4,6000000,0,0,0.0
386,0,3.842769,105.0,1,8143225,0,1,0.0
387,17000000,7.4171570000000004,100.0,1,125586134,1,1,0.0
388,30000000,11.781895,102.0,2,14110589,0,1,0.0
389,19000000,7.923639,125.0,1,6682098,0,1,65466251.0
390,10000000,15.109260999999998,90.0,4,40485039,1,1,38924325.0
391,0,9.665142,115.0,2,4104962,0,1,28693714.0
392,18500000,21.761179000000002,137.0,1,183316455,1,1,449403443.0
393,87000000,7.851669,141.0,1,148336445,0,1,239480029.0
394,28000000,7.598422,115.0,2,97594140,0,1,0.0
395,800000,0.170979,83.0,1,966214,0,0,0.0
396,65000000,7.446085000000001,83.0,2,179379533,0,1,99182088.0
397,60000000,14.039654999999998,116.0,1,149705852,0,1,95825155.0
398,0,8.175019,130.0,1,69932387,0,0,0.0
399,0,11.258125,90.0,2,373530,0,1,0.0
400,2000000,14.379879,100.0,3,4601043,0,1,58675615.0
401,3750000,0.597058,155.0,1,5000000,0,0,0.0
402,30000000,11.43256,94.0,4,151119219,0,1,26863342.0
403,19000000,6.701138,91.0,1,40996665,1,1,0.0
404,2900000,10.92143,90.0,2,296557,0,1,0.0
405,26000000,7.254242,111.0,1,29657751,0,1,55242904.0
406,9000000,1.1399489999999999,100.0,1,706000,0,1,0.0
407,0,7.342410000000001,115.0,1,641100,0,1,0.0
408,6000000,5.414213,89.0,1,18197398,1,1,0.0
409,0,0.8252200000000001,84.0,1,2012927,0,0,0.0
410,810000,3.099222,106.0,2,1258000,0,1,72980139.0
411,40000000,16.94556,130.0,1,109676311,0,1,381511451.0
412,10000000,6.7377970000000005,116.0,1,3400278,0,1,15434345.0
413,13000000,12.994939,113.0,1,96060858,1,1,0.0
414,16000000,2.488424,113.0,1,109130,0,1,42095918.0
415,57000000,9.958406,123.0,2,147845033,0,1,334771729.0
416,13000000,6.862146000000001,104.0,1,11130889,0,1,0.0
417,0,7.7457899999999995,90.0,1,300859,0,1,0.0
418,0,9.266214,95.0,1,70918,0,1,0.0
419,40000000,8.739991,88.0,3,160583018,1,1,62621133.0
420,7000000,6.924072,108.0,2,50888000,0,1,35027975.0
421,762241,4.860265,140.0,1,285930,0,0,0.0
422,110000000,12.904677000000001,102.0,1,337580051,1,1,171217835.0
423,0,10.200553,94.0,2,1986615,0,1,0.0
424,0,2.1177029999999997,83.0,1,832735,0,1,0.0
425,0,6.473841999999999,103.0,1,4300000,0,1,0.0
426,10300000,6.165491,120.0,3,47748,0,0,0.0
427,0,1.693701,93.0,1,343786,0,1,0.0
428,14000000,8.226,97.0,2,875386,1,1,0.0
429,30000000,14.404764000000002,89.0,1,254134910,1,1,140995629.0
430,85000000,12.173291,124.0,2,315156409,0,1,165959322.0
431,80000000,4.9801910000000005,110.0,2,5989640,0,1,32518476.0
432,0,6.402939,102.0,1,1787926,0,1,0.0
433,0,1.69425,116.0,3,1009620,0,1,0.0
434,5000000,6.546551,93.0,1,12534961,1,1,0.0
435,0,9.128571,84.0,2,4910682,0,1,0.0
436,1288000,8.590813,130.0,2,6000000,0,1,5733520.0
437,250000,0.003013,82.0,1,340147,0,1,0.0
438,18000000,6.344961,94.0,1,88923251,1,1,74743456.0
439,7000000,6.950458,104.0,1,25405445,1,1,66034866.0
440,0,1.899468,124.0,3,203781,0,0,0.0
441,22000000,9.627676,110.0,1,147880543,0,1,69949540.0
442,90000000,14.374866,150.0,1,171120329,0,1,198042618.0
443,0,8.09806,124.0,1,126297830,0,1,130325538.0
444,3000000,2.4282790000000003,100.0,1,15369573,0,1,0.0
445,0,10.638289,121.0,1,18782400,0,1,13981441.0
446,17000000,11.673366,99.0,1,270000000,1,1,162174044.0
447,16500000,6.463883,108.0,1,13620075,0,1,0.0
448,16000000,12.260159,100.0,1,318982,0,1,0.0
449,113,9.231318,113.0,1,115103979,1,1,49426575.0
450,35000000,23.947351,100.0,1,459270619,1,1,317921739.0
451,19000000,8.560694,99.0,2,174999005,0,1,46346133.0
452,15000000,1.652275,99.0,2,23000,0,1,0.0
453,25000000,4.037707,85.0,1,6500000,1,0,0.0
454,0,0.36809200000000003,120.0,1,1612100,0,0,0.0
455,18000000,2.471038,100.0,1,6375979,0,1,32655838.0
456,3200000,5.510288,100.0,1,4267218,0,1,55922205.0
457,20000000,6.679167999999999,92.0,2,22165608,1,1,0.0
458,0,8.450231,104.0,1,16589540,0,1,44436337.0
459,0,0.18271700000000002,91.0,1,1300000,0,1,0.0
